646,466
845,392
324,309
1150,202
673,152
472,207
326,468
1056,87
138,377
152,224
291,190
986,289
1099,321
399,143
303,397
232,183
59,175
529,158
615,162
222,389
974,372
79,46
900,311
914,220
1031,197
325,223
785,454
842,126
909,158
1218,380
704,531
321,393
600,480
231,111
93,322
1145,126
539,92
652,316
121,44
565,281
290,134
453,390
289,251
845,344
114,309
754,409
1016,421
170,434
1056,299
601,327
600,382
806,123
973,108
320,135
703,98
1092,363
628,37
752,226
134,108
721,179
921,114
923,274
883,442
247,313
1184,304
606,225
415,85
556,374
961,173
504,451
525,224
1037,371
1132,395
449,68
1115,88
1214,180
246,147
469,108
770,486
709,460
370,136
